0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:46:02 +0900] "GET /beer/articleList.pik?page=1 HTTP/1.1" 200 16715
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:46:02 +0900] "GET /imgReview/%EA%B4%91%ED%99%94%EB%AC%B8%EB%A7%A5%EC%A3%BC.png HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:46:02 +0900] "GET /imgReview/%ED%94%BC%EC%A6%88.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:46:02 +0900] "GET /imgReview/%ED%83%80%EC%9D%B4%EA%B1%B0%EC%9E%90%EB%AA%BD.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:46:02 +0900] "GET /imgReview/%EC%B9%BC%EC%8A%A4%EB%B8%8C%EB%A1%9C%EC%9D%B4%EB%B0%94%EC%9D%B4%EC%A0%A0.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:46:02 +0900] "GET /imgReview/%ED%83%80%EC%9D%B4%EA%B1%B0%EB%A0%88%EB%AA%AC.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:46:02 +0900] "GET /beer/assets/css/images/bg02.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:46:02 +0900] "GET /beer/assets/css/images/bg01.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:53:46 +0900] "GET /beer/articleView.pik?b_seq=130 HTTP/1.1" 200 16690
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:53:47 +0900] "GET /imgReview/%EA%B4%91%ED%99%94%EB%AC%B8%EB%A7%A5%EC%A3%BC.png HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:53:47 +0900] "GET /beer/assets/css/images/bg02.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:53:47 +0900] "GET /beer/assets/css/images/bg01.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:59:02 +0900] "GET /beer/beerSearchForm.pik HTTP/1.1" 200 23801
